Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,10,Banker,Loss,545.0,1
2,Banker,20,Banker,Win,564.0,2
3,Player,10,Player,Win,574.0,1
4,Player,10,Player,Win,584.0,1
5,Player,10,Player,Win,594.0,1
6,Player,10,Player,Win,604.0,1
7,Player,10,Banker,Loss,594.0,1
8,Banker,20,Banker,Win,613.0,2
9,Player,10,Player,Win,623.0,1
10,Player,10,Player,Win,633.0,1
11,Player,10,Player,Win,643.0,1
12,Player,10,Banker,Loss,633.0,1
13,Banker,20,Banker,Win,652.0,2
14,Player,10,Player,Win,662.0,1
15,Player,10,Banker,Loss,652.0,1
16,Banker,20,Tie,Push,652.0,2
17,Banker,20,Banker,Win,671.0,2
18,Player,10,Banker,Loss,661.0,1
19,Banker,20,Player,Loss,641.0,2
20,Player,40,Player,Win,681.0,3
21,Player,10,Banker,Loss,671.0,1
22,Banker,20,Banker,Win,690.0,2
23,Player,10,Tie,Push,690.0,1
24,Player,10,Player,Win,700.0,1
25,Player,10,Banker,Loss,690.0,1
26,Banker,20,Banker,Win,709.0,2
27,Player,10,Player,Win,719.0,1
28,Player,10,Banker,Loss,709.0,1
29,Banker,20,Banker,Win,728.0,2
30,Player,10,Banker,Loss,718.0,1
31,Banker,20,Player,Loss,698.0,2
32,Player,40,Player,Win,738.0,3
33,Player,10,Player,Win,748.0,1
34,Player,10,Player,Win,758.0,1
35,Player,10,Banker,Loss,748.0,1
36,Banker,20,Banker,Win,767.0,2
37,Player,10,Player,Win,777.0,1
38,Player,10,Banker,Loss,767.0,1
39,Banker,20,Player,Loss,747.0,2
40,Player,40,Player,Win,787.0,3
41,Player,10,Tie,Push,787.0,1
42,Player,10,Banker,Loss,777.0,1
43,Banker,20,Banker,Win,796.0,2
44,Player,10,Banker,Loss,786.0,1
45,Banker,20,Player,Loss,766.0,2
46,Player,40,Player,Win,806.0,3
47,Player,10,Player,Win,816.0,1
48,Player,10,Player,Win,826.0,1
49,Player,10,Banker,Loss,816.0,1
50,Banker,20,Banker,Win,835.0,2
51,Player,10,Player,Win,845.0,1
52,Player,10,Player,Win,855.0,1
53,Player,10,Player,Win,865.0,1
54,Player,10,Player,Win,875.0,1
55,Player,10,Banker,Loss,865.0,1
56,Banker,20,Banker,Win,884.0,2
57,Player,10,Player,Win,894.0,1
58,Player,10,Banker,Loss,884.0,1
59,Banker,20,Banker,Win,903.0,2
60,Player,10,Banker,Loss,893.0,1
61,Banker,20,Banker,Win,912.0,2
